YEAR,PLAYER,POS,HAND LENGTH (Inches),HAND WIDTH (INCHES),HEIGHT W/O SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
2019,Cameron Johnson,SG,8.00,8.50,79.0,103.0,205.2,82.0
2019,Cameron Reddish,SF,9.00,9.00,78.5,105.5,207.8,84.5
2019,Carsen Edwards,PG,8.75,9.00,70.75,94.5,199.4,78.0
2019,Charles Bassey,C,9.25,9.50,80.75,109.5,239.0,87.5
2019,Charles Matthews,SG,8.50,8.75,77.0,103.0,194.8,81.5
2019,Chuma Okeke,,-,-,,,-,
2019,Coby White,PG,7.75,9.00,75.5,97.5,191.4,77.0
2019,Cody Martin,PG-SG,8.25,9.00,76.75,102.5,192.2,82.25
2019,DaQuan Jeffries,SF-PF,9.50,10.25,76.0,104.0,215.6,83.25
2019,Daniel Gafford,PF,9.25,9.25,81.25,110.0,237.6,86.25
2019,Darius Bazley,PF,9.00,9.75,79.75,107.0,208.4,84.0
2019,Darius Garland,PG,-,-,,,-,
2019,De'Andre Hunter,,-,-,,,-,
2019,Dedric Lawson,PF,9.75,9.75,79.0,107.5,233.0,86.25
2019,Devon Dotson,PG,8.25,9.50,72.0,95.5,178.6,75.25
2019,Dewan Hernandez,C,9.50,10.25,81.0,107.0,232.8,85.75
2019,Dylan Windler,SF,8.25,9.50,78.25,104.5,195.8,82.0
2019,Eric Paschall,SF,9.00,9.50,78.0,103.5,254.4,83.75
2019,Grant Williams,PF,9.00,10.50,77.75,104.5,240.2,81.75
2019,Ignas Brazdeikis,SF,8.75,9.50,77.75,102.0,220.8,81.25
2019,Isaiah Roby,PF,9.00,10.50,79.25,106.0,214.0,85.0
2019,Ja Morant,PG,-,-,,,-,
2019,Jalen Hoard,PF,8.75,9.75,79.25,105.5,212.6,84.75
2019,Jalen Lecque,PG,8.75,8.50,74.5,98.5,185.2,80.5
2019,Jalen McDaniels,SF,9.00,10.00,80.25,105.5,191.6,84.25
2019,Jared Harper,PG,8.25,9.50,69.75,94.0,169.2,77.5
2019,Jarrett Culver,SG,8.25,8.50,77.25,100.5,194.2,81.5
2019,Jaxson Hayes,PF,9.25,10.50,82.25,110.5,218.6,87.5
2019,Jaylen Hands,PG,8.00,8.25,73.5,97.0,180.4,77.5
2019,Jaylen Nowell,SG,8.25,8.50,75.25,98.0,202.4,79.25
2019,Jontay Porter,PF,8.75,9.50,81.75,109.5,210.4,84.0
2019,Jordan Bone,SG,7.50,9.25,73.5,95.0,179.0,75.25
2019,Jordan Nwora,PF,8.50,9.25,77.75,103.0,220.0,82.5
2019,Jordan Poole,SG,8.25,8.50,75.5,99.5,190.8,78.75
2019,KZ Okpala,SF,9.25,9.25,79.25,106.5,209.6,85.75
2019,Keldon Johnson,SG,8.00,9.25,76.75,104.0,216.4,81.25
2019,Kevin Porter Jr.,SG,8.75,8.75,76.0,103.0,212.6,81.0
2019,Killian Tillie,,-,-,,,-,
2019,Kris Wilkes,SF,8.50,9.50,78.25,103.0,208.8,82.75
2019,Ky Bowman,PG,8.25,9.00,73.0,98.0,181.2,79.0
2019,Kyle Guy,SG,8.00,8.75,72.75,95.5,167.8,76.5
2019,Louis King,SF,8.00,8.50,78.75,104.5,195.2,84.25
2019,Luguentz Dort,PG,8.50,9.00,74.75,99.5,222.2,80.5
2019,Luka Samanic,PF,8.50,9.00,81.5,107.0,227.2,82.5
2019,Marial Shayok,SF-PF,8.75,9.25,76.5,103.5,196.8,84.25
2019,Mfiondu Kabengele,PF,9.25,10.75,80.75,109.5,256.2,87.0
2019,Miye Oni,SG,9.00,10.00,76.25,100.5,205.6,82.75
2019,Moses Brown,C,9.50,10.25,85.25,113.0,237.2,88.75
2019,Nassir Little,SF,8.75,10.00,76.5,104.5,224.2,85.25
2019,Naz Reid,PF,9.50,9.25,80.75,109.0,255.8,87.25
2019,Neemias Queta,C,9.50,11.00,82.75,111.5,225.8,88.25
2019,Nickeil Alexander-Walker,SG,8.50,8.75,76.25,102.0,203.8,81.5
2019,Nicolas Claxton,C,9.25,9.50,82.0,110.0,216.6,86.5
2019,O'Shae Brissett,SF-PF,9.00,9.50,79.0,104.0,203.2,84.0
2019,P.J. Washington,PF,9.00,10.25,78.5,106.5,230.4,86.25
2019,Quentin Grimes,SG,8.25,10.00,76.0,100.5,209.6,79.75
2019,Quinndary Weatherspoon,SG,8.50,9.00,75.0,100.0,206.6,81.0
2019,RJ Barrett,SF,-,-,,,-,
2019,Reggie Perry,SF-PF,9.00,10.00,80.0,106.0,250.8,84.5
2019,Romeo Langford,SG,9.00,9.00,76.5,103.0,-,83.0
2019,Shamorie Ponds,PG,7.75,8.00,71.5,96.5,180.0,75.5
2019,Simisola Shittu,PF,8.75,8.50,80.5,106.0,227.2,85.25
2019,Tacko Fall,C,10.50,10.50,89.25,122.5,288.8,98.25
2019,Talen Horton-Tucker,SG,9.50,9.75,74.5,103.0,235.4,85.25
2019,Terance Mann,SG-SF,9.50,9.25,76.75,101.0,204.6,79.75
2019,Terence Davis,SG,9.25,10.75,75.0,101.0,192.4,80.75
2019,Tremont Waters,PG,8.00,9.75,69.5,93.5,172.4,74.25
2019,Ty Jerome,PG,8.25,9.50,76.25,98.0,194.4,76.0
2019,Tyler Cook,PF,9.50,10.75,79.25,106.5,245.4,84.5
2019,Tyler Herro,SG,8.00,8.75,76.5,100.5,192.4,75.25
2019,Zach Norvell Jr.,SG,8.50,9.50,76.5,101.0,206.4,78.0
2019,Zion Williamson,PF,-,-,,,-,
2018,Aaron Holiday,PG,8.75,8.50,71.75,97.0,187.0,79.5
2018,Alize Johnson,PF,8.50,9.75,79.25,103.0,216.6,80.75
2018,Allonzo Trier,SG,8.25,10.50,75.75,98.0,198.0,78.75
2018,Anfernee Simons,SG-PG,8.75,9.00,74.25,99.5,183.2,81.25
2018,Austin Wiley,C,9.75,10.25,80.25,111.0,249.4,89.0
2018,Billy Preston,PF,9.25,9.50,80.75,108.0,222.4,86.0
2018,Brandon McCoy,C,9.75,9.50,83.5,110.5,250.4,86.0
2018,Brian Bowen,SG-SF,9.00,10.00,78.25,103.5,202.0,82.25
2018,Bruce Brown,SG-PG,8.50,8.50,75.5,98.5,194.6,81.0
2018,Bruno Fernando,C,9.50,10.00,80.75,109.0,233.2,88.25
2018,Caleb Martin,SF-SG,8.50,8.75,76.75,101.5,195.8,82.0
2018,Carsen Edwards,PG,8.50,9.25,70.75,94.5,195.6,78.25
2018,Chimezie Metu,PF-C,9.00,9.25,80.5,108.0,219.6,84.5
2018,Cody Martin,SG-SF,8.50,9.00,76.75,102.5,188.6,82.25
2018,Collin Sexton,PG,8.25,8.50,72.5,98.5,183.0,79.25
2018,DeAnthony Melton,SG-PG,8.50,9.50,74.25,99.5,193.2,80.5
2018,Devon Hall,SG,8.50,10.00,76.25,102.0,206.4,79.75
2018,Devonte Graham,PG,8.50,9.50,72.25,96.0,186.4,78.25
2018,Donte DiVincenzo,SG,8.25,9.00,75.5,97.5,200.6,78.0
2018,Gary Trent,SG,8.50,9.50,76.25,98.0,204.2,80.75
2018,George King,SF-SG,9.00,10.25,76.75,101.5,218.6,83.5
2018,Grayson Allen,SG,8.25,10.00,75.0,97.0,198.0,79.25
2018,Hamidou Diallo,SG,8.75,9.00,76.25,103.0,197.0,83.5
2018,Isaac Haas,C,10.00,10.50,85.25,111.5,303.0,89.0
2018,Jacob Evans,SG-SF,9.00,9.25,76.25,102.5,199.6,81.25
2018,Jalen Brunson,PG,8.25,9.25,73.0,96.0,198.4,76.0
2018,Jaren Jackson,PF-C,10.00,10.00,81.75,110.0,236.0,89.25
2018,Jaylen Barford,PG-SG,8.00,8.25,73.25,96.5,207.6,75.5
2018,Jaylen Hands,PG,8.00,8.00,73.5,98.0,179.0,77.5
2018,Jerome Robinson,SG,9.00,10.00,76.0,98.0,188.4,79.25
2018,Jevon Carter,PG,9.25,8.50,72.25,95.0,196.2,76.25
2018,Jontay Porter,C-PF,8.75,9.50,82.0,109.0,236.0,84.25
2018,Josh Okogie,SG,9.00,9.75,75.0,102.0,210.8,84.0
2018,Justin Jackson,PF,9.00,9.50,78.0,105.0,229.4,87.0
2018,Keenan Evans,PG,8.50,8.00,73.5,98.0,183.2,77.25
2018,Keita Bates-Diop,SG-SF,9.00,8.50,79.25,106.5,223.8,87.25
2018,Kenrich Williams,SF,8.50,9.75,78.0,103.5,200.4,79.25
2018,Kevin Hervey,PF,9.25,10.25,78.5,107.0,211.6,87.5
2018,Kevin Huerter,SG,8.25,8.50,78.25,101.5,194.0,79.5
2018,Kevin Knox,SF,8.75,9.25,79.75,108.0,212.6,83.75
2018,Khyri Thomas,SG,8.75,9.25,74.5,101.0,198.8,82.5
2018,Kostas Antetokounmpo,PF,9.25,9.50,81.0,110.0,194.8,86.25
2018,Kris Wilkes,SF,8.75,9.25,78.5,103.5,205.0,82.25
2018,Landry Shamet,PG,8.00,9.00,76.0,100.0,188.6,78.75
2018,Lonnie Walker,SG,9.00,9.50,75.75,99.5,196.2,82.25
2018,Malik Newman,SG,8.50,9.50,74.5,98.5,189.2,77.5
2018,Melvin Frazier,SF-SG,9.50,9.50,76.5,105.0,198.2,85.75
2018,Michael Porter,SF-PF,8.75,9.25,81.5,108.5,211.0,84.25
2018,Miles Bridges,SF,9.00,9.75,77.25,103.5,220.4,81.5
2018,Mohamed Bamba,C,9.75,10.25,83.25,115.5,225.6,94.0
2018,Moritz Wagner,C-PF,9.00,10.75,82.5,108.0,241.4,84.0
2018,Omari Spellman,PF-C,9.00,9.00,80.0,107.5,253.8,86.0
2018,PJ Washington,PF,9.00,10.25,78.5,107.0,223.0,86.5
2018,Rawle Alkins,SG,8.50,10.00,74.75,99.0,217.4,80.75
2018,Ray Spalding,PF,9.25,9.00,81.0,109.0,215.4,88.75
2018,Sagaba Konate,C,9.25,10.00,78.5,106.5,246.0,84.0
2018,Shai Gilgeous-Alexander,PG,9.00,9.00,76.5,104.0,180.0,83.5
2018,Shake Milton,SG-PG,8.75,9.50,76.5,99.5,207.2,84.75
2018,Sviatoslav Mykhailiuk,SG-SF,8.25,9.50,78.5,100.0,211.6,76.75
2018,Theo Pinson,SG-SF,9.00,9.00,77.0,103.5,211.2,82.75
2018,Tony Carr,PG,8.50,9.75,75.0,100.0,198.8,80.25
2018,Trae Young,PG,8.00,9.25,72.5,95.5,177.8,75.0
2018,Trevon Duval,PG,8.75,10.00,73.5,97.5,191.0,80.25
2018,Troy Brown,SF,9.00,9.75,77.75,105.0,208.0,82.25
2018,Tyus Battle,SG,8.50,9.25,77.0,102.0,200.2,81.0
2018,Udoka Azubuike,C,9.50,10.00,82.0,112.5,273.8,91.0
2018,Wendell Carter,C-PF,8.50,9.00,80.75,109.0,251.4,88.5
2018,Yante Maten,PF-C,9.25,10.00,79.25,107.5,246.2,84.5
2018,Zhaire Smith,SF-SG,8.75,8.25,74.75,100.0,198.6,81.75
2017,Alec Peters,PF,8.75,10.00,79.25,105.0,232.0,82.75
2017,Caleb Swanigan,PF,9.50,10.25,79.5,108.0,245.6,87.0
2017,Cameron Oliver,PF,9.50,10.25,79.0,106.5,238.6,85.25
2017,Chris Boucher,PF,9.25,10.50,80.0,110.5,182.2,88.0
2017,D.J. Wilson,PF,9.25,10.25,80.75,109.5,234.4,87.0
2017,Damyean Dotson,SG-SF,8.50,9.25,76.5,100.0,205.2,81.0
2017,Davon Reed,SG-SF,9.25,9.50,76.5,102.0,206.2,84.0
2017,De?Aaron Fox,PG,8.50,8.50,74.0,100.0,169.6,78.5
2017,Derrick Walton Jr.,PG,8.00,8.50,71.0,95.0,188.6,74.5
2017,Derrick White,PG,8.25,8.50,75.25,101.5,189.8,79.5
2017,Devin Robinson,SF,9.25,10.25,79.0,106.0,189.6,84.75
2017,Dillon Brooks,SG-SF,8.25,9.25,77.0,100.5,220.2,78.0
2017,Donovan Mitchell,SG,8.50,9.50,73.25,97.0,211.4,82.0
2017,Dwayne Bacon,SG-SF,8.75,10.00,76.75,103.5,221.6,82.0
2017,Edmond Sumner,PG,8.25,9.00,76.0,102.5,176.4,81.0
2017,Edrice Adebayo,PF-C,9.50,8.75,80.75,108.0,242.6,86.75
2017,Frank Jackson,PG,8.25,9.00,74.0,98.0,201.6,79.5
2017,Frank Mason III,PG,8.00,9.25,71.0,94.0,188.8,75.25
2017,Hamidou Diallo,SG-SF,8.50,9.50,75.75,101.5,197.4,83.25
2017,Harry Giles,PF,9.50,10.75,81.25,109.5,232.0,87.25
2017,Ike Anigbogu,C,9.50,10.00,80.5,110.5,252.2,90.25
2017,Isaiah Briscoe,PG,9.00,9.25,73.25,99.5,222.4,81.0
2017,Isaiah Hicks,PF,8.75,9.75,79.25,105.0,233.4,84.5
2017,Ivan Rabb,PF,8.75,9.00,80.75,109.0,219.6,85.5
2017,Jamel Artis,SG-SF,9.25,9.75,77.5,105.0,213.2,82.0
2017,Jaron Blossomgame,SF,8.75,10.25,77.75,104.5,218.6,82.0
2017,Jarrett Allen,C,9.50,10.50,81.0,109.5,233.6,89.25
2017,Jawun Evans,PG,8.00,7.75,70.75,95.0,185.2,77.5
2017,John Collins,PF,9.00,10.00,80.25,106.5,225.2,83.25
2017,Johnathan Motley,PF,9.00,9.50,79.75,108.0,238.2,88.0
2017,Jordan Bell,PF,9.25,9.50,79.0,104.5,223.6,83.75
2017,Josh Hart,SG-SF,8.50,9.50,75.75,101.0,209.2,80.25
2017,Justin Jackson (UMD),SF,9.00,9.50,77.75,107.0,219.4,87.25
2017,Justin Jackson (UNC),SF,8.75,9.25,79.0,104.5,200.8,83.0
2017,Justin Patton,C,8.75,9.75,82.0,111.5,229.0,87.0
2017,Kadeem Allen,PG,8.50,8.75,73.0,99.5,192.4,81.25
2017,Kennedy Meeks,C,8.75,8.75,80.75,106.0,276.6,85.0
2017,Kobi Simmons,PG,8.50,9.50,75.25,99.0,166.2,78.0
2017,Kyle Kuzma,SF-SG,8.50,9.50,80.0,107.5,222.6,84.25
2017,Luke Kennard,SG-SF,8.00,8.75,76.5,98.5,196.2,77.25
2017,Markelle Fultz,PG,-,-,,,-,
2017,Melo Trimble,PG,8.00,8.75,73.25,95.5,195.2,74.0
2017,Monte Morris,PG,8.25,8.75,73.25,96.5,175.2,76.0
2017,Moritz Wagner,PF,8.75,10.75,82.0,108.0,231.2,84.0
2017,Nigel Hayes,PF,8.75,10.00,78.25,104.5,254.2,87.25
2017,Nigel Williams-Goss,PG,8.75,9.25,73.5,99.0,190.2,79.25
2017,OG Anunoby,SF,9.25,9.50,78.25,107.5,232.4,86.25
2017,Omer Yurtseven,C,9.00,10.50,82.5,108.5,248.4,85.0
2017,PJ Dozier,SG,8.50,9.50,77.25,101.0,200.6,83.0
2017,Peter Jok,SG-SF,8.25,9.50,76.25,102.0,202.4,80.0
2017,Rawle Alkins,SG-SF,8.75,10.00,74.5,99.0,222.6,80.75
2017,Semi Ojeleye,SF-SG,8.75,9.50,77.25,102.0,241.4,81.75
2017,Sindarius Thornwell,SG-SF,8.75,8.75,75.5,103.0,211.6,82.0
2017,Svi Mykhailiuk,SG-SF,8.00,9.25,78.5,100.0,219.6,77.0
2017,TJ Leaf,PF,8.50,9.50,80.75,107.0,222.2,83.0
2017,Terrance Ferguson,SG-SF,8.50,10.00,77.5,103.0,184.4,80.75
2017,Thomas Bryant,PF-C,9.50,10.25,81.5,112.5,247.8,90.0
2017,Thomas Welsh,PF-C,9.00,10.50,83.5,109.5,254.0,84.0
2017,Tony Bradley,C,9.50,9.50,81.25,112.5,248.8,89.0
2017,Tyler Dorsey,SG,8.50,9.25,75.0,99.5,182.6,77.25
2017,Tyler Lydon,PF,8.75,8.75,80.25,107.5,215.0,84.0
2017,V.J. Beachem,SG-SF,8.50,9.00,78.25,104.5,193.4,82.25
2017,Wesley Iwundu,SG-SF,8.75,9.50,77.5,105.5,193.4,85.0
2017,Zach Collins,PF-C,8.75,9.25,82.25,111.0,232.2,85.0
2016,Ben Bentil,PF,9.50,10.00,79.25,105.0,229.2,85.5
2016,Brice Johnson,PF,9.00,8.25,81.0,106.5,208.6,84.5
2016,Buddy Hield,SG,8.50,9.00,75.75,101.0,212.4,81.25
2016,Caleb Swanigan,PF,9.00,10.25,79.5,107.0,246.6,87.5
2016,Caris LeVert,SG,8.50,9.25,77.75,101.0,191.0,82.0
2016,Cat Barber,PG,8.00,8.50,73.5,95.5,173.0,77.5
2016,Cheick Diallo,PF,8.50,9.75,79.5,107.5,218.6,88.5
2016,Chinanu Onuaku,C,9.00,8.00,81.0,108.5,245.2,86.75
2016,Damian Jones,C,8.75,10.50,82.25,107.0,243.6,87.75
2016,Daniel Hamilton,SG-SF,9.00,8.50,78.25,103.5,197.0,81.0
2016,DeAndre Bembry,SG-SF,8.00,9.25,76.25,101.0,206.6,81.25
2016,Demetrius Jackson,PG,8.25,9.00,72.0,93.0,193.8,77.5
2016,Denzel Valentine,SG-SF,8.50,9.75,76.0,102.0,210.4,82.75
2016,Deyonta Davis,PF,9.00,9.25,81.25,108.5,237.2,86.5
2016,Diamond Stone,C,8.50,7.75,81.0,108.5,254.4,86.75
2016,Dorian Finney-Smith,SF,9.00,9.75,78.5,105.5,212.6,83.75
2016,Elgin Cook,SF,8.50,10.25,77.0,100.5,209.8,82.0
2016,Gary Payton II,PG,8.75,9.50,74.0,99.5,183.8,80.0
2016,Georges Niang,PF,9.25,9.25,78.75,103.0,230.8,82.0
2016,Henry Ellenson,PF,8.50,9.75,82.0,108.0,242.0,86.25
2016,Isaiah Cousins,PG,8.25,8.75,75.25,98.5,194.0,78.25
2016,Isaiah Whitehead,PG-SG,8.50,8.75,75.25,100.0,210.0,80.75
2016,Jake Layman,SF,8.25,9.25,80.0,102.0,208.6,81.25
2016,Jakob Poeltl,C,9.25,10.25,84.25,111.5,239.0,86.75
2016,Jaron Blossomgame,SF,8.50,10.00,78.25,102.0,213.6,82.0
2016,Jarrod Uthoff,PF,8.75,9.00,80.5,104.0,214.4,83.5
2016,Jaylen Brown,SG-SF,8.75,9.00,77.25,102.5,222.8,83.75
2016,Joel Bolomboy,PF,9.00,10.25,79.5,103.5,224.4,85.75
2016,Josh Hart,SG,8.50,9.25,76.0,99.5,203.6,80.5
2016,Justin Jackson,SF,8.75,8.75,79.0,103.5,193.4,82.75
2016,Kay Felder,PG,8.25,8.50,68.25,88.5,177.2,74.5
2016,Kris Dunn,PG,-,-,75.0,100.0,-,81.5
2016,Kyle Wiltjer,PF,8.25,9.50,80.75,102.5,242.8,84.25
2016,Malachi Richardson,SG-SF,8.75,10.00,76.75,101.5,199.6,84.0
2016,Malcolm Brogdon,SG,9.00,10.25,75.75,98.0,223.0,82.5
2016,Malik Beasley,SG,8.50,9.00,75.5,100.5,189.8,79.0
2016,Malik Newman,SG,8.25,9.25,74.25,97.5,182.2,77.75
2016,Marcus Lee,PF-C,9.00,9.00,81.0,107.5,211.0,87.0
2016,Marcus Paige,PG,7.75,8.75,72.5,97.0,163.8,78.25
2016,Marquese Chriss,PF,9.00,9.00,80.75,105.0,233.0,84.25
2016,Melo Trimble,PG,8.00,8.75,73.25,92.5,191.8,74.0
2016,Michael Gbinije,SG,8.00,9.00,77.5,101.0,204.6,79.5
2016,Nigel Hayes,SF-PF,8.50,9.50,78.25,107.5,245.0,87.0
2016,Pascal Siakam,PF,9.25,10.00,80.25,107.5,226.6,87.25
2016,Patrick McCaw,PG-SG,8.75,8.75,77.25,100.5,180.8,82.0
2016,Perry Ellis,PF,8.00,8.50,79.0,102.0,217.8,82.25
2016,Ron Baker,SG,8.75,9.50,75.25,97.5,212.4,81.75
2016,Skal Labissiere,PF-C,8.75,9.00,82.5,105.5,215.8,86.5
2016,Stephen Zimmerman,C,9.00,9.00,82.25,108.5,234.0,87.25
2016,Taurean Prince,SF,9.00,8.50,78.5,102.0,220.2,83.5
2016,Thon Maker,PF,8.75,9.50,83.75,110.5,216.0,87.0
2016,Troy Williams,SF,8.25,9.25,77.75,102.0,217.8,80.25
2016,Tyler Ulis,PG,7.50,7.50,68.75,88.5,149.2,74.0
2016,Wade Baldwin IV,PG,9.00,9.75,74.5,100.0,201.8,83.25
2016,Wayne Selden,SG,9.00,9.25,76.25,101.0,232.4,82.5
2016,Zhou Qi,PF-C,9.25,9.50,85.25,112.5,218.2,91.75
2015,Aaron Harrison,SG,8.75,10.00,76.5,100.5,209.2,80.25
2015,Alan Williams,PF,8.50,9.50,79.25,106.5,261.4,85.75
2015,Andrew Harrison,PG,8.25,9.25,76.5,100.0,213.2,81.0
2015,Anthony Brown,SF-SG,8.50,9.00,77.75,104.5,211.0,83.0
2015,Bobby Portis,PF,9.50,9.25,81.5,108.5,246.2,86.0
2015,Branden Dawson,PF,9.00,8.75,77.5,105.0,230.2,83.0
2015,Brandon Ashley,PF,9.00,9.50,79.25,105.0,228.0,87.75
2015,Cameron Payne,PG,8.50,8.25,72.75,97.5,182.8,79.25
2015,Chasson Randle,PG,8.50,9.50,72.25,96.5,178.8,79.0
2015,Chris McCullough,PF,8.75,8.75,80.25,109.0,199.0,87.25
2015,Chris Walker,PF,9.00,9.00,80.75,108.0,208.0,86.75
2015,Christian Wood,PF,9.25,10.75,81.25,111.5,216.0,87.25
2015,Cliff Alexander,PF-C,9.50,10.25,79.25,109.5,239.2,87.5
2015,Corey Hawkins,SG-PG,8.75,9.00,72.75,99.5,191.8,80.0
2015,D?Angelo Russell,PG-SG,8.75,9.75,75.25,102.0,193.4,81.75
2015,Dakari Johnson,C,9.25,10.50,83.0,112.0,264.6,86.0
2015,Delon Wright,PG,8.00,8.50,76.25,101.5,181.4,79.5
2015,Devin Booker,SG,8.75,9.00,76.5,102.5,205.8,80.25
2015,Dez Wells,SG,8.75,9.75,75.0,100.5,208.8,81.5
2015,Frank Kaminsky,C-PF,8.50,9.50,83.75,109.5,231.2,83.0
2015,J.P. Tokoto,SF-SG,8.00,8.75,77.25,100.5,195.8,82.0
2015,Jarell Martin,PF,8.25,9.50,80.0,106.5,238.6,81.0
2015,Jerian Grant,PG,8.25,8.50,75.25,100.0,198.0,79.5
2015,Jonathan Holmes,PF-SF,8.25,9.50,80.25,107.5,242.2,83.5
2015,Jordan Mickey,PF,8.75,9.50,79.0,106.0,238.0,87.25
2015,Justin Anderson,SF-SG,8.50,9.50,77.25,101.0,230.6,83.75
2015,Justise Winslow,SF,8.50,9.25,76.5,104.5,221.8,82.25
2015,Keifer Sykes,PG,8.50,9.50,70.5,93.0,167.2,74.0
2015,Kelly Oubre,SF-SG,9.00,8.75,77.75,102.5,202.8,86.25
2015,Kevon Looney,PF,9.50,9.25,80.0,110.0,222.4,87.5
2015,Larry Nance,PF,9.00,9.75,79.5,108.0,226.6,85.5
2015,Marcus Thornton,PG-SG,8.25,8.50,73.75,97.5,177.4,79.75
2015,Michael Frazier II,SG,8.25,9.25,75.75,101.5,199.4,80.0
2015,Michael Qualls,SG-SF,9.00,10.25,76.0,104.5,201.4,84.25
2015,Montrezl Harrell,PF,9.00,9.75,79.0,109.0,253.4,88.25
2015,Myles Turner,C-PF,9.25,9.25,81.75,112.0,238.6,88.0
2015,Norman Powell,SG,9.25,9.00,75.0,102.5,215.4,82.75
2015,Olivier Hanlan,PG-SG,8.00,8.75,75.25,100.0,185.8,78.0
2015,Pat Connaughton,SG,8.50,9.25,76.0,96.0,215.0,80.0
2015,Quinn Cook,PG,7.50,8.75,72.25,96.5,179.0,76.0
2015,R.J. Hunter,SG,8.50,8.25,76.5,104.0,185.0,82.5
2015,Rakeem Christmas,PF-C,9.25,9.00,80.25,110.5,242.6,89.25
2015,Rashad Vaughn,SG,8.00,8.50,75.75,101.0,198.6,79.0
2015,Richaun Holmes,PF,8.50,8.50,80.25,108.0,242.8,85.5
2015,Robert Upshaw,C,10.00,11.00,82.75,113.0,258.2,89.5
2015,Rondae Hollis-Jefferson,SF,8.75,9.75,77.5,104.0,210.8,86.0
2015,Ryan Boatright,PG,7.50,8.75,70.0,92.5,169.6,72.5
2015,Sam Dekker,SF,8.50,9.25,79.75,106.0,218.6,83.5
2015,Stanley Johnson,SF,9.00,9.00,77.0,102.0,241.8,83.5
2015,TJ McConnell,PG,7.50,7.00,72.5,96.5,187.8,74.0
2015,Terran Petteway,SG,8.25,8.25,76.75,104.5,209.2,83.25
2015,Terry Rozier,PG-SG,8.25,8.50,72.5,98.5,190.2,80.25
2015,Treveon Graham,SF,8.50,8.25,76.0,103.0,219.4,82.5
2015,Trey Lyles,PF,9.25,10.25,81.0,108.0,241.2,85.5
2015,Tyler Harvey,SG,7.75,8.75,74.75,98.5,181.4,77.5
2015,Tyus Jones,PG,8.25,8.75,72.5,97.0,184.6,77.0
2015,Vince Hunter,PF,9.00,8.75,78.75,104.5,208.4,83.0
2015,Willie Cauley-Stein,C,9.50,9.00,83.25,111.0,242.4,87.0
2014,Aaron Craft,PG,7.75,8.50,72.75,94.5,191.6,74.0
2014,Aaron Gordon,PF,8.75,10.50,79.5,105.0,220.1,83.75
2014,Adreian Payne,PF,9.25,9.50,81.0,109.0,238.5,88.0
2014,Alec Brown,PF,9.25,8.75,84.25,109.0,231.2,85.5
2014,Alex Kirk,PF,9.25,10.50,81.25,109.5,252.0,87.5
2014,C.J. Fair,SF,9.00,9.00,78.5,104.0,218.1,81.5
2014,C.J. Wilcox,SG,8.75,9.00,75.5,100.5,201.0,81.75
2014,Cameron Bairstow,PF,8.75,9.00,80.75,107.0,252.4,84.75
2014,Cleanthony Early,SF,8.50,9.00,78.0,101.5,209.4,82.75
2014,Cory Jefferson,PF,8.75,9.75,79.75,105.0,218.4,84.5
2014,Dante Exum,SG,8.50,9.50,76.5,103.0,196.3,81.5
2014,DeAndre Daniels,SF,9.25,10.50,79.25,106.5,196.0,86.0
2014,Deonte Burton,PG,8.25,8.00,72.0,97.5,192.8,79.0
2014,Devyn Marble,SG,8.25,8.50,77.0,102.0,192.4,81.0
2014,Doug McDermott,SF,8.75,9.75,78.25,103.0,218.0,81.25
2014,Dwight Powell,PF,9.00,9.25,81.5,105.0,234.4,84.5
2014,Elfrid Payton,PG,8.75,9.00,74.5,98.5,185.4,80.0
2014,Gary Harris,SG,8.50,9.50,74.5,96.0,204.8,78.75
2014,Glenn Robinson III,SF,9.00,9.50,77.5,100.5,211.4,82.0
2014,Jabari Brown,SG,9.00,9.25,75.0,100.0,201.9,80.25
2014,James McAdoo,PF,9.25,9.00,79.5,106.5,227.6,86.25
2014,James Young,SG,9.00,9.50,77.25,104.0,213.3,84.0
2014,Jarnell Stokes,PF,9.75,10.50,79.0,103.5,262.8,85.25
2014,Jerami Grant,SF,9.25,9.25,78.5,107.0,214.0,86.75
2014,Joe Harris,SG,8.50,9.75,76.75,100.0,215.0,78.0
2014,Johnny O?Bryant III,PF,9.25,9.50,79.25,105.0,256.8,86.25
2014,Jordan Adams,SG,8.50,7.50,75.5,102.0,208.8,82.0
2014,Jordan Bachynski,PF,9.25,10.00,85.25,108.5,254.1,88.0
2014,Jordan Clarkson,PG,8.25,9.00,75.25,98.0,186.3,80.0
2014,Jordan McRae,SG,8.75,8.50,75.75,104.0,179.4,84.5
2014,Julius Randle,PF,8.75,8.25,79.75,105.5,249.7,84.0
2014,K.J. McDaniels,SF,8.75,9.75,76.5,102.0,195.6,83.25
2014,Kendall Williams,PG,8.00,7.75,74.25,99.0,183.0,77.5
2014,Khem Birch,PF,9.00,8.50,79.5,107.0,208.8,85.0
2014,Kyle Anderson,SF,8.25,8.75,79.5,107.5,230.1,86.75
2014,LaQuinton Ross,SF,8.75,9.75,78.5,106.0,238.7,85.75
2014,Lamar Patterson,SG,9.00,9.25,76.0,101.0,226.0,83.0
2014,Marcus Smart,PG,9.00,8.75,74.0,99.0,227.2,81.25
2014,Markel Brown,SG,8.25,9.75,74.5,100.0,184.4,80.75
